Option Name,Developer,Contact,Address,Wi-Fi,Year Built,Units,URL
Reserve Square,"K&D Real Estate Services, LLC",855-835-0637,"1701 E 12th St, Cleveland, OH 44114",False,1975,971,https://www.apartments.com/reserve-square-cleveland-oh/jx3h3x6/
The Terminal Tower Residences,"K&D Real Estate Services, LLC",844-763-4549,"50 Public Sq, Cleveland, OH 44113",False,2019,297,https://www.apartments.com/the-terminal-tower-residences-cleveland-oh/n90y57n/
The Athlon,Great Lakes Financial Group Limited Partnership,844-352-9623,"1118 Euclid Ave, Cleveland, OH 44115",False,2018,163,https://www.apartments.com/the-athlon-cleveland-oh/kdb8c3b/
The Statler,The Millennia Companies,216-298-1064,"1127 Euclid Ave, Cleveland, OH 44115",True,1912,295,https://www.apartments.com/the-statler-cleveland-oh/shzxlj7/
Iconic Living at The 9,Geis Companies,216-592-9825,"2017 E 9th St, Cleveland, OH 44115",True,2014,194,https://www.apartments.com/iconic-living-at-the-9-cleveland-oh/py94znr/
The Schofield Residences,"CRM Companies, Inc.",844-836-5123,"2000 E 9th St, Cleveland, OH 44115",False,2015,52,https://www.apartments.com/the-schofield-residences-cleveland-oh/hqjph12/
The Avenue District Apartments,Geis Companies,216-404-2315,"1211 St Clair Ave NE, Cleveland, OH 44114",True,2008,62,https://www.apartments.com/the-avenue-district-apartments-cleveland-oh/b0zdfwb/
The Garfield,The Millennia Companies,216-230-4205,"1965 E 6th St, Cleveland, OH 44114",True,2017,123,https://www.apartments.com/the-garfield-cleveland-oh/99gc6e5/
The Beacon Cleveland,"Stark Enterprises, Inc.",216-930-6100,"515 Euclid Ave, Cleveland, OH 44114",False,2019,187,https://www.apartments.com/the-beacon-cleveland-cleveland-oh/pgqjyfr/
The Standard,Lincoln Property Company,216-539-3473,"99 W Saint Clair Ave, Cleveland, OH 44113",False,2017,282,https://www.apartments.com/the-standard-cleveland-oh/kthkp8b/
Worthington Yards,The Dalad Realty,216-816-0002,"725 Johnson Ct, Cleveland, OH 44113",True,2017,98,https://www.apartments.com/worthington-yards-cleveland-oh/j14fkp4/
Bridgeview Apartments,The Landmark Companies,844-535-8117,"1300 W 9th St, Cleveland, OH 44113",False,1911,247,https://www.apartments.com/bridgeview-apartments-cleveland-oh/lhxwhdg/
Flats at East Bank,Village Green,216-815-3039,"1055 Old River Rd, Cleveland, OH 44113",False,2015,241,https://www.apartments.com/flats-at-east-bank-cleveland-oh/c6wqfkd/
The Quarter,Snavely Group,855-418-6432,"2550 Detroit Ave, Cleveland, OH 44113",False,2018,194,https://www.apartments.com/the-quarter-cleveland-oh/7cfe1mz/
Clinton West Luxury Apartments,My Place Homes,216-239-1787,"3007 Clinton Ave, Cleveland, OH 44113",True,2017,70,https://www.apartments.com/clinton-west-luxury-apartments-cleveland-oh/ybe8c4v/
The Shoreline,The Landmark Companies,888-513-6903,"5455 N Marginal Rd, Cleveland, OH 44114",False,1929,167,https://www.apartments.com/the-shoreline-cleveland-oh/8r5yte0/
Mariner's Watch Apartments,Mariner's Watch,844-899-4987,"3107 Detroit Ave, Cleveland, OH 44113",True,2015,62,https://www.apartments.com/mariners-watch-apartments-cleveland-oh/c204f3e/
Edge32,Vintage Development Group,216-393-6716,"3219 Detroit Ave, Cleveland, OH 44113",False,2017,60,https://www.apartments.com/edge32-cleveland-oh/tr3l4db/
Innova,The Finch Group,844-343-1819,"10001 Chester Ave, Cleveland, OH 44106",False,2015,257,https://www.apartments.com/innova-cleveland-oh/5f8t90m/
Battery Park Lofts Apartments,Vintage Development Group,216-230-3733,"1250 W 75th St, Cleveland, OH 44102",False,2018,82,https://www.apartments.com/battery-park-lofts-apartments-cleveland-oh/n5yltlp/
Hazel 8,"WXZ Development, Inc.",844-203-9670,"1618 Hazel Dr, Cleveland, OH 44106",True,2013,59,https://www.apartments.com/hazel-8-cleveland-oh/5h5kx7p/
Centric,"The NRP Group, LLC",844-465-5375,"1999 Circle Dr, Cleveland, OH 44106",False,2018,272,https://www.apartments.com/centric-cleveland-oh/6kt46lt/
118 Flats - Oval,"WXZ Development, Inc.",844-322-7968,"1599 E 118th St, Cleveland, OH 44106",False,2016,32,https://www.apartments.com/118-flats-oval-cleveland-oh/3wz89he/
118Flats - Square & Circle,"WXZ Development, Inc.",216-342-9382,"1643 E 118th St, Cleveland, OH 44106",False,2015,32,https://www.apartments.com/118flats-square-circle-cleveland-oh/1s4wkb5/
La Collina Little Italy,Geis Companies,216-307-3371,"12312 Mayfield Rd, Cleveland, OH 44106",True,2019,32,https://www.apartments.com/la-collina-little-italy-cleveland-oh/zgx9q2w/
Lewis Manor Apartments,Capital Properties Management,877-905-3786,"2477 Overlook Rd, Cleveland, OH 44106",False,1928,104,https://www.apartments.com/lewis-manor-apartments-cleveland-oh/jf0wxf7/
Shaker House & Cormere Apartments,Capital Properties Management,844-610-6825,"12929 Shaker Blvd, Cleveland, OH 44120",False,1941,187,https://www.apartments.com/shaker-house-cormere-apartments-cleveland-oh/evggc7n/
Tower Press Building,Tower Press Development,844-223-4340,"1900-2100 Superior Ave, Cleveland, OH 44114",False,1911,85,https://www.apartments.com/tower-press-building-cleveland-oh/nqe9hdp/
The Luckman,"The NRP Group, LLC",216-586-3884,"1801 E 12th St, Cleveland, OH 44114",False,1968,426,https://www.apartments.com/the-luckman-cleveland-oh/z1npqqx/
Huron Square and The Osborn Apartments,Great Lakes Financial Group Limited Partnership,888-879-5921,"1001 Huron Rd, Cleveland, OH 44115",False,1896,120,https://www.apartments.com/huron-square-and-the-osborn-apartments-cleveland-oh/4p93r0h/
The Ivory on Euclid,"CRM Companies, Inc.",844-241-1526,"1030 Euclid Ave, Cleveland, OH 44115",False,1911,29,https://www.apartments.com/the-ivory-on-euclid-cleveland-oh/3zfcmbe/
Euclid Block Apartments,MRN Ltd.,216-415-8037,"2015 E 4th St, Cleveland, OH 44115",False,1890,64,https://www.apartments.com/euclid-block-apartments-cleveland-oh/2kv09cb/
WT Grant Lofts,RHM Real Estate,844-236-5901,"248 Euclid Ave, Cleveland, OH 44114",False,1920,73,https://www.apartments.com/wt-grant-lofts-cleveland-oh/ez4srvm/
The Bingham,MORE Management,866-933-3492,"1278 W 9th St, Cleveland, OH 44113",False,1915,342,https://www.apartments.com/the-bingham-cleveland-oh/0y52rd0/
The Archer,MORE Management,844-290-5294,"1220 W 9th St, Cleveland, OH 44113",False,1909,250,https://www.apartments.com/the-archer-cleveland-oh/060kk90/
The Edison at Gordon Square,"The NRP Group, LLC",216-487-6951,"6060 Father Caruso, Cleveland, OH 44102",False,2017,306,https://www.apartments.com/the-edison-at-gordon-square-cleveland-oh/hb3zmw0/
Park Lane Villa,The Finch Group,844-344-7820,"10510 Park Ln, Cleveland, OH 44106",False,1919,96,https://www.apartments.com/park-lane-villa-cleveland-oh/rb63l70/
Glenville CircleNorth,The Finch Group,844-242-6308,"1400 E 105th St, Cleveland, OH 44106",False,2019,64,https://www.apartments.com/glenville-circlenorth-cleveland-oh/vfn9ntg/
One University Circle,Village Green,216-230-3329,"10730 Euclid Ave, Cleveland, OH 44106",False,2018,276,https://www.apartments.com/one-university-circle-cleveland-oh/tycr44c/
Uptown,MRN Ltd.,216-415-6139,"11431-11471 Euclid Ave, Cleveland, OH 44106",False,2014,157,https://www.apartments.com/uptown-cleveland-oh/6s1zq2s/
Euclid3 Apartments,Signet Enterprises,844-307-8171,"11611 Euclid Ave, Cleveland, OH 44106",False,1984,65,https://www.apartments.com/euclid3-apartments-cleveland-oh/z5r7d9x/
Integrity Cleveland Heights,Integrity Realty Group,866-268-7431,"2096 Lennox Rd, Cleveland Heights, OH 44106",False,1918,10,https://www.apartments.com/integrity-cleveland-heights-cleveland-heights-oh/t9ykb79/
Integrity Goldcoast Apartments,Integrity Realty Group,844-784-9485,"11115 Lake Ave, Cleveland, OH 44102",False,1920,231,https://www.apartments.com/integrity-goldcoast-apartments-cleveland-oh/r3w5331/
University Lofts,The Coral Company,844-748-8718,"2010-2030 Euclid Ave, Cleveland, OH 44115",True,1920,30,https://www.apartments.com/university-lofts-cleveland-oh/z1zgswx/
The Edge on Euclid,Peak Campus,844-228-3374,"1750 Euclid Ave, Cleveland, OH 44115",True,2017,240,https://www.apartments.com/the-edge-on-euclid-cleveland-oh/9mztpw4/
The Residences at Hanna,"K&D Real Estate Services, LLC",877-592-1346,"1401 Prospect Ave, Cleveland, OH 44115",False,2013,103,https://www.apartments.com/the-residences-at-hanna-cleveland-oh/xnswwbm/
Innerbelt Lofts,J&M Real Estate Advisors,844-587-7563,"2828 Euclid Ave, Cleveland, OH 44115",False,2017,62,https://www.apartments.com/innerbelt-lofts-cleveland-oh/byqtx99/
University Studios,NM Residential,844-266-0692,"2901 Euclid Ave, Cleveland, OH 44115",True,1960,150,https://www.apartments.com/university-studios-cleveland-oh/qbjnxzy/
2320 Lofts,Tower Press Development,844-285-1022,"2320 Superior Ave E, Cleveland, OH 44114",False,2014,169,https://www.apartments.com/2320-lofts-cleveland-oh/er4jr0p/
Residences at Halle,"K&D Real Estate Services, LLC",216-592-9749,"1228 Euclid Ave, Cleveland, OH 44115",False,1910,122,https://www.apartments.com/residences-at-halle-cleveland-oh/y4m43fr/
Residences at 1717,"K&D Real Estate Services, LLC",844-288-5861,"1717 E 9th St, Cleveland, OH 44114",False,2015,223,https://www.apartments.com/residences-at-1717-cleveland-oh/zv9y0yy/
The Residences at 668,"K&D Real Estate Services, LLC",844-892-9398,"668 Euclid Ave, Cleveland, OH 44114",False,2010,236,https://www.apartments.com/the-residences-at-668-cleveland-oh/0rn7np1/
Residences at Leader,"K&D Real Estate Services, LLC",855-447-9957,"526 Superior Ave E, Cleveland, OH 44114",False,1913,224,https://www.apartments.com/residences-at-leader-cleveland-oh/17pb3m4/
The Bradley Building,5-4 Management/60 North - The Bradley Building,844-790-1906,"1220 W 6th St, Cleveland, OH 44113",True,1886,37,https://www.apartments.com/the-bradley-building-cleveland-oh/38bbqgd/
Worthington Square Apartments,5-4 Management/60 North,844-286-5090,"844-850 W St Clair Ave, Cleveland, OH 44113",True,1995,53,https://www.apartments.com/worthington-square-apartments-cleveland-oh/rsp23r2/
Stonebridge Waterfront,"K&D Real Estate Services, LLC",855-816-3762,"1500 Detroit Ave, Cleveland, OH 44113",False,2002,159,https://www.apartments.com/stonebridge-waterfront-cleveland-oh/bgzpl18/
West 25th Street Lofts,"Smythe Property Advisors, LLC",844-258-9569,"2599 Church Ave, Cleveland, OH 44113",True,2016,83,https://www.apartments.com/west-25th-street-lofts-cleveland-oh/t9hpq0c/
Hyacinth Lofts,Tower Press Development,216-505-4983,"3030 E 63rd St, Cleveland, OH 44127",False,1932,51,https://www.apartments.com/hyacinth-lofts-cleveland-oh/ycqp7gr/
The Fourty-One,Howard Hanna Property Management,440-207-9418,"2021 W 41st St, Cleveland, OH 44113",False,2019,32,https://www.apartments.com/the-fourty-one-cleveland-oh/79prh2y/
Waldorf Towers Apartments,Paran Management Company Ltd.,844-212-0683,"2300 Overlook Rd, Cleveland Heights, OH 44106",False,1961,160,https://www.apartments.com/waldorf-towers-apartments-cleveland-heights-oh/fvmm48r/
The Brick Lofts at Historic West Tech,Monarch Investment and Management Group,844-227-2792,"2201 W 93rd St, Cleveland, OH 44102",False,1912,190,https://www.apartments.com/the-brick-lofts-at-historic-west-tech-cleveland-oh/fwgfgyt/
Edgewater Landing,"K&D Real Estate Services, LLC",888-915-5302,"1330-1350 West Blvd, Cleveland, OH 44102",False,1963,247,https://www.apartments.com/edgewater-landing-cleveland-oh/4zjrplk/
Twin Flags,"Crotty Industries, LLC",216-930-6075,"2546 Kenilworth Rd, Cleveland, OH 44106",False,1920,12,https://www.apartments.com/twin-flags-cleveland-oh/ewp5s2p/
