Option Name,Developer,Contact,Address,Wi-Fi,Year Built,Units,URL
The Hamilton,The Bozzuto Group,484-334-4683,"1520 Hamilton St, Philadelphia, PA 19130",True,2018,279,https://www.apartments.com/the-hamilton-philadelphia-pa/jk2rxy5/
Hanover North Broad,The Hanover Company,844-892-6318,"322-344 N Broad St, Philadelphia, PA 19107",True,2017,339,https://www.apartments.com/hanover-north-broad-philadelphia-pa/540bw8m/
The Irvine,Post Brothers Apartments,855-473-7952,"780 S 52nd St, Philadelphia, PA 19143",True,2019,153,https://www.apartments.com/the-irvine-philadelphia-pa/61hve9v/
Palazzo at The Piazza,Post Brothers Apartments,844-202-1970,"1050 N Hancock St, Philadelphia, PA 19123",False,2019,20,https://www.apartments.com/palazzo-at-the-piazza-philadelphia-pa/2szmfl9/
The Palmer,CP Acquisitions 30 LLC,215-220-4826,"18 E Lancaster Ave, Wynnewood, PA 19096",False,2014,110,https://www.apartments.com/the-palmer-wynnewood-pa/7s6eesx/
Vue32,The Bozzuto Group,267-293-6132,"3201 Race St, Philadelphia, PA 19104",False,2017,170,https://www.apartments.com/vue32-philadelphia-pa/v60dc8g/
The Old Quaker Building,Greystar,267-233-6695,"3514 Lancaster Ave, Philadelphia, PA 19104",False,1870,76,https://www.apartments.com/the-old-quaker-building-philadelphia-pa/6syn5rv/
The Left Bank Apartments,Apartment Investment and Management Company,844-693-7245,"3131 Walnut St, Philadelphia, PA 19104",False,1929,282,https://www.apartments.com/the-left-bank-apartments-philadelphia-pa/eyzwdvp/
Arrive University City,"FPA Multifamily, LLC",844-841-5323,"3601 Market St, Philadelphia, PA 19104",True,2016,363,https://www.apartments.com/arrive-university-city-philadelphia-pa/yl2tbxt/
Edgewater Apartments,Greystar,866-413-3978,"2323 Race St, Philadelphia, PA 19103",False,2005,287,https://www.apartments.com/edgewater-apartments-philadelphia-pa/tdb3pqb/
