Option Name,Developer,Contact,Address,Wi-Fi,Year Built,Units,URL
Pebblebrook Apartments,Kalo Living,330-474-3319,"6115 Pebblebrook Ln, Kent, OH 44240",False,2007,288,https://www.apartments.com/pebblebrook-apartments-kent-oh/tfjhb9b/
Copper Creek Apartments,ABC Management Company,330-422-8454,"1100 Copper Ct, Kent, OH 44240",False,2016,192,https://www.apartments.com/copper-creek-apartments-kent-oh/36xchvf/
Redwood Kent,Redwood Living,844-585-4435,"1202 Jasmine Dr, Kent, OH 44240",True,2017,135,https://www.apartments.com/redwood-kent-kent-oh/bmkw89b/
Latitude at Kent,"CA Ventures, LLC",844-212-6733,"1456 E Summit St, Kent, OH 44240",True,2019,384,https://www.apartments.com/latitude-at-kent-kent-oh/em2wwbp/
College Towers,Windsor Realty,844-491-7672,"1800-1840 Rhodes Rd, Kent, OH 44240",False,1968,459,https://www.apartments.com/college-towers-kent-oh/5ytdw6q/
University Oaks,Capstone Companies,330-968-2572,"500 Golden Oaks Dr, Kent, OH 44240",False,1965,280,https://www.apartments.com/university-oaks-kent-oh/tdly3ec/
Eagle's Landing,Kent Apartments,844-867-3058,"936 Morris Rd, Kent, OH 44240",False,1967,269,https://www.apartments.com/eagles-landing-kent-oh/tptr9z9/
The Province,Greystar,844-748-1785,"609 S Lincoln St, Kent, OH 44240",True,2012,246,https://www.apartments.com/the-province-kent-oh/r3t4nf0/
Dartmouth Place,Elon Property Management,330-474-3359,"705-707 S Lincoln St, Kent, OH 44240",False,1982,102,https://www.apartments.com/dartmouth-place-kent-oh/dk7d8ml/
Kent Village Apartments,Simco Management Corp.,888-575-8330,"6800 Alpha Dr, Kent, OH 44240",True,1970,296,https://www.apartments.com/kent-village-apartments-kent-oh/3kltsvf/
Lake Street Apartments,"APT Management, Inc.",844-286-2119,"1002 Lake St, Kent, OH 44240",False,1972,120,https://www.apartments.com/lake-street-apartments-kent-oh/w5bbkwk/
Indian Valley Apartments,Botnick Realty Company,330-676-5135,"1928 Mohawk Pl, Kent, OH 44240",False,1970,288,https://www.apartments.com/indian-valley-apartments-kent-oh/62rsqnt/
Maple Brook at Golden Pond,"The NRP Group, LLC",844-315-5351,"5231 Sunnybrook Rd, Kent, OH 44240",False,2013,131,https://www.apartments.com/maple-brook-at-golden-pond-kent-oh/zk4r4hx/
Celeron Suites,Robb Real Estate Co.,330-331-0309,"1700 E Main St, Kent, OH 44240",False,1973,44,https://www.apartments.com/celeron-suites-kent-oh/6kmzjdt/
345 Flats,Redstone Residential,234-284-2226,"345 S Depeyster St, Kent, OH 44240",False,2016,147,https://www.apartments.com/345-flats-kent-oh/1v5ymv7/
Kent Tower 43,Jonathan Rose Companies,844-279-6390,"1546 S Water St, Kent, OH 44240",False,1981,101,https://www.apartments.com/kent-tower-43-kent-oh/pmy9q0s/
926 S Lincoln St Unit A,,216-446-5274,"926 S Lincoln St, Kent, OH 44240",False,1981,101,https://www.apartments.com/926-s-lincoln-st-kent-oh-unit-a/r5f5vz0/
122 University Dr,,330-737-1067,"122 University Dr, Kent, OH 44240",False,1981,101,https://www.apartments.com/122-university-dr-kent-oh/mh5hlmj/
4 Joyanne Ct,,,"4 Joyanne Ct, Kent, OH 44240",False,1981,101,https://www.apartments.com/4-joyanne-ct-kent-oh/d1513ll/
126 University Dr,,330-736-1242,"126 University Dr, Kent, OH 44240",False,1981,101,https://www.apartments.com/126-university-dr-kent-oh/qkf993y/
6263 5th Ave,,724-330-4112,"6263 5th Ave, Kent, OH 44240",False,1981,101,https://www.apartments.com/6263-5th-ave-kent-oh/h2dcv53/
327 Tonkin Ct Unit D,,844-308-4748,"327 Tonkin Ct, Kent, OH 44240",False,1981,101,https://www.apartments.com/327-tonkin-ct-kent-oh-unit-d/0f19l40/
333 Tonkin Ct Unit C,,,"333 Tonkin Ct, Kent, OH 44240",False,1981,101,https://www.apartments.com/333-tonkin-ct-kent-oh-unit-c/1b653k6/
1537 S Water St Unit 3,,216-273-1442,"1537 S Water St, Kent, OH 44240",False,,,https://www.apartments.com/1537-s-water-st-kent-oh-unit-3/np0pxln/
704 S Depeyster St,,,"704 S Depeyster St, Kent, OH 44240",False,,,https://www.apartments.com/704-s-depeyster-st-kent-oh/dse52dj/
,,,,,,,
,,,,,,,
,,,,,,,
425 Crain Ave,,216-273-1374,"425 Crain Ave, Kent, OH 44240",False,,,https://www.apartments.com/425-crain-ave-kent-oh/20g5gsc/
524 Miller Ave,,330-736-1249,"524 Miller Ave, Kent, OH 44240",False,,,https://www.apartments.com/524-miller-ave-kent-oh/2v1t078/
1537 Benjamin Ct,,216-309-0070,"1537 Benjamin Ct, Kent, OH 44240",False,,,https://www.apartments.com/1537-benjamin-ct-kent-oh/rdmcbm1/
121 Brady St,,844-299-8186,"121 Brady St, Kent, OH 44240",False,,,https://www.apartments.com/121-brady-st-kent-oh/5rtel2q/
925 N Mantua St,,,"925 N Mantua St, Kent, OH 44240",False,,,https://www.apartments.com/925-n-mantua-st-kent-oh/edcj9fn/
6 Bedroom House In Kent For Rent,,,"136 University Dr, Kent, OH 44240",False,,,https://www.apartments.com/6-bedroom-house-in-kent-for-rent-kent-oh/rjr2hd2/
"2 br, 1.5 bath Apartment - 654 Walter Street",,,"654 Walter Street, Kent, OH 44240",False,,,https://www.apartments.com/2-br-15-bath-apartment-654-walter-street-kent-oh/z27mg0y/
2265 Meloy Rd,,,"2265 Meloy Rd, Kent, OH 44240",False,,,https://www.apartments.com/2265-meloy-rd-kent-oh/1b24f24/
2269 Meloy Rd Unit 1,,,"2269 Meloy Rd, Kent, OH 44240",False,,,https://www.apartments.com/2269-meloy-rd-kent-oh-unit-1/jpb6yk5/
720 Paulus Dr,,,"720 Paulus Dr, Kent, OH 44240",False,,,https://www.apartments.com/720-paulus-dr-kent-oh/hvdcpd3/
1300 Brimfield Dr Unit A-08,,,"1300 Brimfield Dr, Kent, OH 44240",False,,,https://www.apartments.com/1300-brimfield-dr-kent-oh-unit-a-08/8j7y6m1/
1049 DeLeone Dr,,,"1049 DeLeone Dr, Kent, OH 44240",False,,,https://www.apartments.com/1049-deleone-dr-kent-oh/hrdnve0/
19 Fountain Drive,,,"19 Fountain Dr, Kent, OH 44240",False,,,https://www.apartments.com/19-fountain-drive-kent-oh/b04btk8/
5 Fountain Drive,,,"5 Fountain Dr, Kent, OH 44240",False,,,https://www.apartments.com/5-fountain-drive-kent-oh/8nzzpv3/
12 Fountain Drive,,,"12 Fountain Dr, Kent, OH 44240",False,,,https://www.apartments.com/12-fountain-drive-kent-oh/n2zcl8m/
484 Laurel Dr,,,"484 Laurel Dr, Kent, OH 44240",False,,,https://www.apartments.com/484-laurel-dr-kent-oh/fbmh9tr/
1245 Overbrook Dr,,,"1245 Overbrook Dr, Kent, OH 44240",False,,,https://www.apartments.com/1245-overbrook-dr-kent-oh/54y6hqn/
462 Brentwood Dr,,,"462 Brentwood Dr, Kent, OH 44240",False,,,https://www.apartments.com/462-brentwood-dr-kent-oh/e8zh0ym/
University Townhomes,,,"1698 E Summit St, Kent, OH 44240",False,1989,55,https://www.apartments.com/university-townhomes-kent-oh/l4tzkgf/
Summit Gardens,,,"1101 Summit Gardens Blvd, Kent, OH 44240",False,1983,80,https://www.apartments.com/summit-gardens-kent-oh/1fszdn7/
Four Seasons at Kent,,,"5956 Horning Rd, Kent, OH 44240",False,2001,54,https://www.apartments.com/four-seasons-at-kent-kent-oh/4mfvqsh/
1604 Thomas Ct,,,"1604 Thomas Ct, Kent, OH 44240",False,1959,,https://www.apartments.com/1604-thomas-ct-kent-oh/9h84634/
Cedar Meadows,,,"1754 Whitehall Blvd, Kent, OH 44240",False,1990,36,https://www.apartments.com/cedar-meadows-kent-oh/9dr5fy7/
Ryan Place,,,"182 Dale Dr, Kent, OH 44240",False,,135,https://www.apartments.com/ryan-place-kent-oh/fv41kks/
Storer Suites,,,"1773 E Main St, Kent, OH 44240",False,1998,18,https://www.apartments.com/storer-suites-kent-oh/1emyhj4/
1235 E Main St,,,"1235 E Main St, Kent, OH 44240",False,1950,,https://www.apartments.com/1235-e-main-st-kent-oh/l76z24d/
1227 E Main St,,,"1227 E Main St, Kent, OH 44240",False,1950,,https://www.apartments.com/1227-e-main-st-kent-oh/c6retzf/
1219 E Main St,,,"1219 E Main St, Kent, OH 44240",False,1950,,https://www.apartments.com/1219-e-main-st-kent-oh/26l2tpc/
Summit Hill Apartments,,,"548 E Summit St, Kent, OH 44240",False,1965,42,https://www.apartments.com/summit-hill-apartments-kent-oh/ekzlb8q/
226 Frances Dr,,,"226 Frances Dr, Kent, OH 44240",False,1974,,https://www.apartments.com/226-frances-dr-kent-oh/qyevr1w/
701 E Main St,,,"701 E Main St, Kent, OH 44240",False,1930,10,https://www.apartments.com/701-e-main-st-kent-oh/rw6gm63/
327-333 Tonkin Ct,,,"327-333 Tonkin Ct, Kent, OH 44240",False,1970,,https://www.apartments.com/327-333-tonkin-ct-kent-oh/hkc54e0/
1605 S Water St,,,"1605 S Water St, Kent, OH 44240",False,1963,18,https://www.apartments.com/1605-s-water-st-kent-oh/9j23807/
