Option Name,Developer,Contact,Address,Wi-Fi,Year Built,Units,URL
Avalon Somerset,"AvalonBay Communities, Inc.",888-520-6717,"500 Bristol Blvd, Somerset, NJ 08873",False,2012,384,https://www.apartments.com/avalon-somerset-somerset-nj/h8wpyq2/
Pleasant View Gardens,Jersey Central Management,888-702-8190,"258 Carlton Ave, Piscataway, NJ 08854",True,1968,1142,https://www.apartments.com/pleasant-view-gardens-piscataway-nj/01lxs72/
Merriewold,Kaplan Companies,201-620-9391,"433 River Rd, Highland Park, NJ 08904",False,2017,197,https://www.apartments.com/merriewold-highland-park-nj/k841cz8/
The Vue,Pennrose Management Company,844-527-0294,"110 Somerset St, New Brunswick, NJ 08901",False,2012,150,https://www.apartments.com/the-vue-new-brunswick-nj/k81jhs9/
The Quincy,Alliance Residential Company,844-462-9749,"120 Neilson St, New Brunswick, NJ 08901",False,2018,393,https://www.apartments.com/the-quincy-new-brunswick-nj/gx8qv0w/
Plaza Square Apartment Homes,Greystar,888-320-9264,"1 Richmond St, New Brunswick, NJ 08901",False,2004,415,https://www.apartments.com/plaza-square-apartment-homes-new-brunswick-nj/wkj147h/
SoCam 290,Greystar,844-648-0544,"290 George St, New Brunswick, NJ 08901",False,2005,233,https://www.apartments.com/socam-290-new-brunswick-nj/bpd2fv8/
The Arbors at Franklin Township,"Fieldstone Properties, LLC",888-593-3985,"265 Franklin Blvd, Somerset, NJ 08873",False,1955,398,https://www.apartments.com/the-arbors-at-franklin-township-somerset-nj/42en65j/
The Park at Franklin,"Fieldstone Properties, LLC",866-831-5948,"1 John F Kennedy Blvd, Somerset, NJ 08873",True,1968,648,https://www.apartments.com/the-park-at-franklin-somerset-nj/bzh58k8/
Kensington Place,Toll Brothers. Inc.,844-345-0327,"527 Old Bridge Tpke, East Brunswick, NJ 08816",False,2017,400,https://www.apartments.com/kensington-place-east-brunswick-nj/nyv8xkp/
Avalon Piscataway,"AvalonBay Communities, Inc.",844-294-0382,"7000 Avalon Way, Piscataway, NJ 08854",False,2018,360,https://www.apartments.com/avalon-piscataway-piscataway-nj/fptjtfs/
The Aspire,Boraie Development,732-532-6030,"135 Somerset St, New Brunswick, NJ 08901",True,2015,238,https://www.apartments.com/the-aspire-new-brunswick-nj/r29zjj3/
Skyline Tower,Oxford Realty Group,844-531-3769,"60 Paterson St, New Brunswick, NJ 08901",False,2002,70,https://www.apartments.com/skyline-tower-new-brunswick-nj/3p48mtd/
Riverwatch Commons,Mack-Cali Realty Corporation,732-584-7403,"5 Dennis St, New Brunswick, NJ 08901",False,2013,200,https://www.apartments.com/riverwatch-commons-new-brunswick-nj/4jfk35k/
The George,Oxford Realty Group,732-993-4846,"285-287 George St, New Brunswick, NJ 08901",False,2013,104,https://www.apartments.com/the-george-new-brunswick-nj/695x3zt/
10 Landing Lane,Kriegman & Smith,866-429-5821,"10 Landing Ln, New Brunswick, NJ 08901",False,1963,143,https://www.apartments.com/10-landing-lane-new-brunswick-nj/62nc1mr/
The Harrison Somerset Apartment Homes,AION Partners,844-867-5928,"575 Easton Ave, Somerset, NJ 08873",False,1974,316,https://www.apartments.com/the-harrison-somerset-apartment-homes-somerset-nj/qn97ztz/
Highland Manor Apartments,DeMattheis Investments LLC,877-820-4818,"330-338 Crowells Rd, Highland Park, NJ 08904",False,1962,54,https://www.apartments.com/highland-manor-apartments-highland-park-nj/xcg8l4m/
Raritan Crossing Apartment Homes,Residential Management,866-680-3157,"18 Regency Manor Drive, New Brunswick, NJ 08901",False,,379,https://www.apartments.com/raritan-crossing-apartment-homes-new-brunswick-nj/y2jl27r/
Edison and Blueberry Village,Atlantic Realty Development Corp.,866-269-0879,"2674 Wildberry Ct, Edison, NJ 08817",False,,800,https://www.apartments.com/edison-and-blueberry-village-edison-nj/m4lcfck/
Georgetown Apartments,Jersey Central Management,844-532-1900,"1470 Oak Tree Dr, North Brunswick, NJ 08902",False,1968,238,https://www.apartments.com/georgetown-apartments-north-brunswick-nj/pqdj0ht/
The Highlands at South Plainfield,Equity Residential,844-237-5890,"1300 Cook Ln, South Plainfield, NJ 07080",False,2000,252,https://www.apartments.com/the-highlands-at-south-plainfield-south-plainfield-nj/w42q2el/
Princeton Gardens,Garden Homes,732-733-4583,"7 Princeton Rd, Piscataway, NJ 08854",False,1975,259,https://www.apartments.com/princeton-gardens-piscataway-nj/fvleytr/
Greenway Village,Kriegman & Smith,833-712-3082,"398-400 Amboy Ave, Metuchen, NJ 08840",False,2016,49,https://www.apartments.com/greenway-village-metuchen-nj/e3zpvrm/
Woodmont Metro at Metuchen Station,Woodmont Properties,844-557-6688,"99 New St, Metuchen, NJ 08840",True,2016,273,https://www.apartments.com/woodmont-metro-at-metuchen-station-metuchen-nj/wpwxx1l/
The Hub on Morrell,Landmark Companies,732-343-7470,"55 MORRELL St, New Brunswick, NJ 08901",False,2014,35,https://www.apartments.com/the-hub-on-morrell-new-brunswick-nj/l18wd0d/
Parktowne House Apartments,Jersey Central Management,855-228-9178,"11-19 Raritan Ave, Highland Park, NJ 08904",False,1979,84,https://www.apartments.com/parktowne-house-apartments-highland-park-nj/t01nlsb/
Highland Montgomery Apartments,Jersey Central Management,844-402-7773,"140-1H Montgomery St, Highland Park, NJ 08904",False,1951,192,https://www.apartments.com/highland-montgomery-apartments-highland-park-nj/3f9111f/
The Park Apartments,Stonelock Properties,888-734-7564,"222 Denison St, Highland Park, NJ 08904",False,,,https://www.apartments.com/the-park-apartments-highland-park-nj/p0t6hfr/
Colony House Apartments,The Kamson Corporation,844-579-8734,"1050 George St, New Brunswick, NJ 08901",False,1962,263,https://www.apartments.com/colony-house-apartments-new-brunswick-nj/fjexnbt/
Douglass Gardens,Jersey Central Management,844-364-5411,"462 Hamilton St, Somerset, NJ 08873",False,1965,188,https://www.apartments.com/douglass-gardens-somerset-nj/5lnf2gm/
New Brunswick Apartments,Housing Management Resources Inc.,732-798-7227,"33 Commercial Ave, New Brunswick, NJ 08901",False,1975,206,https://www.apartments.com/new-brunswick-apartments-new-brunswick-nj/1n67kg7/
Riverside Towers Apartment Homes,Morgan Properties,866-673-8097,"10 Paul Robeson Blvd, New Brunswick, NJ 08901",False,1964,169,https://www.apartments.com/riverside-towers-apartment-homes-new-brunswick-nj/smqk9n7/
Orchard Gardens,Jersey Central Management,732-540-1263,"260 S 11th Ave, Highland Park, NJ 08904",False,1953,208,https://www.apartments.com/orchard-gardens-highland-park-nj/fmfxdrr/
Riverview Manor Apts,Goldberg Realty Associates,844-245-4741,"350-360 Crowells Rd, Highland Park, NJ 08904",False,1967,102,https://www.apartments.com/riverview-manor-apts-highland-park-nj/bmthm6c/
