Option Name,Developer,Contact,Address,Wi-Fi,Year Built,Units,URL
Palazzo at The Piazza,Post Brothers Apartments,844-202-1970,"1050 N Hancock St, Philadelphia, PA 19123",False,2019,20,https://www.apartments.com/palazzo-at-the-piazza-philadelphia-pa/2szmfl9/
The Hamilton,The Bozzuto Group,484-334-4683,"1520 Hamilton St, Philadelphia, PA 19130",True,2018,279,https://www.apartments.com/the-hamilton-philadelphia-pa/jk2rxy5/
Hanover North Broad,The Hanover Company,844-892-6318,"322-344 N Broad St, Philadelphia, PA 19107",True,2017,339,https://www.apartments.com/hanover-north-broad-philadelphia-pa/540bw8m/
Diamond Green-Student Housing!!,Orens Brothers Real Estate Inc.,844-396-7061,"1000 Diamond St, Philadelphia, PA 19122",True,2012,92,https://www.apartments.com/diamond-green-student-housing-philadelphia-pa/rx12fs2/
Fallsview Gardens,Stonelock Properties,484-388-5701,"3026 W Queen Ln, Philadelphia, PA 19129",True,1958,34,https://www.apartments.com/fallsview-gardens-philadelphia-pa/xk810sq/
"Dobson Studios, Lofts and apartments","Winther Investment, Inc.",267-297-3173,"4055 Ridge Ave, Philadelphia, PA 19129",False,2007,284,https://www.apartments.com/dobson-studios-lofts-and-apartments-philadelphia-pa/z18pmxz/
YONO,Lindy Property,267-368-7156,"1320 W Somerville Ave, Philadelphia, PA 19141",True,1958,225,https://www.apartments.com/yono-philadelphia-pa/fzzev2t/
The Avenue at East Falls,GoldOller Real Estate Investments,215-558-5905,"5450 Wissahickon Ave, Philadelphia, PA 19144",False,1953,512,https://www.apartments.com/the-avenue-at-east-falls-philadelphia-pa/y48p92r/
Alden Park,"RAM Partners, LLC",215-392-9323,"5500 Wissahickon Ave, Philadelphia, PA 19144",False,1925,775,https://www.apartments.com/alden-park-philadelphia-pa/83f95m3/
Falls Village,Scully Company,877-470-8540,"2991 W School House Ln, Philadelphia, PA 19144",False,1964,180,https://www.apartments.com/falls-village-philadelphia-pa/bpbz8k9/
The Civic,JG Real Estate,844-590-5723,"1600-1650 W Girard Ave, Philadelphia, PA 19130",False,2019,88,https://www.apartments.com/the-civic-philadelphia-pa/16cseb4/
Liberty Square,Palladium,215-600-2264,"1203 Germantown Ave, Philadelphia, PA 19122",False,2018,59,https://www.apartments.com/liberty-square-philadelphia-pa/hy0hmv0/
The Pointe,Westrum Development Company,267-984-4928,"1415 N 31st St, Philadelphia, PA 19121",False,2017,50,https://www.apartments.com/the-pointe-philadelphia-pa/f7p4zcs/
The Hub At 31 Brewerytown,Westrum Development Company,844-247-2132,"1410 N 31st St, Philadelphia, PA 19121",False,2018,84,https://www.apartments.com/the-hub-at-31-brewerytown-philadelphia-pa/m3558gl/
Rittenhouse Hill,Post Brothers Apartments,844-854-3596,"633 W Rittenhouse St, Philadelphia, PA 19144",False,2013,636,https://www.apartments.com/rittenhouse-hill-philadelphia-pa/zktw8dw/
The Porter,Stamm Development Group,610-850-9955,"2940 W Thompson St, Philadelphia, PA 19121",True,2019,29,https://www.apartments.com/the-porter-philadelphia-pa/kyf9blc/
The Piazza,Post Brothers Apartments,844-414-6170,"1001 N 2nd St, Philadelphia, PA 19123",False,2006,319,https://www.apartments.com/the-piazza-philadelphia-pa/pslb7ts/
Germantown Square,Stamm Development Group,267-520-0886,"45-47 West Haines St, Philadelphia, PA 19144",True,2019,33,https://www.apartments.com/germantown-square-philadelphia-pa/jyqqn67/
West River Apartments,Rushmore Management,215-298-9737,"3601 Conshohocken Ave, Philadelphia, PA 19131",False,1965,162,https://www.apartments.com/west-river-apartments-philadelphia-pa/7c47vez/
Lennox Apartments,Altman Management Company,267-244-7209,"236 W Walnut Ln, Philadelphia, PA 19144",False,1928,155,https://www.apartments.com/lennox-apartments-philadelphia-pa/bm4swb8/
Imperial Towers,Scully Company,267-415-4725,"3801 Conshohocken Ave, Philadelphia, PA 19131",False,1969,191,https://www.apartments.com/imperial-towers-philadelphia-pa/z5m8jhw/
Adams at Presidential City,Post Brothers Apartments,844-867-4256,"3800 City Ave, Philadelphia, PA 19131",False,2017,242,https://www.apartments.com/adams-at-presidential-city-philadelphia-pa/z2dgeqx/
Penthouses at Presidential City,Post Brothers Apartments,888-814-7970,"76 Winding Dr, Philadelphia, PA 19131",False,2015,60,https://www.apartments.com/penthouses-at-presidential-city-philadelphia-pa/79brkfz/
Independence Lofts,Independence Press Building Master Tenant LLC,844-850-0651,"525-533 N 11th St, Philadelphia, PA 19123",True,1920,92,https://www.apartments.com/independence-lofts-philadelphia-pa/bxlql0b/
Jefferson at Presidential City,Post Brothers Apartments,267-774-4779,"3900 City Ave, Philadelphia, PA 19131",False,2016,241,https://www.apartments.com/jefferson-at-presidential-city-philadelphia-pa/90t98h5/
Tower Place,Scully Company,888-814-6825,"1400 Spring Garden St, Philadelphia, PA 19130",False,2013,204,https://www.apartments.com/tower-place-philadelphia-pa/bex449c/
Washington at Presidential City,Post Brothers Apartments,844-219-3966,"3902 City Ave, Philadelphia, PA 19131",False,2015,120,https://www.apartments.com/washington-at-presidential-city-philadelphia-pa/g969jkx/
1 Brown,Greystar,844-868-3774,"1 Brown St, Philadelphia, PA 19123",True,2013,245,https://www.apartments.com/1-brown-philadelphia-pa/6fxklcs/
NORTHxNORTHWEST - North Tower,Brookfield Properties Multifamily LLC,844-238-9126,"450 N 18th St, Philadelphia, PA 19130",False,2017,270,https://www.apartments.com/northxnorthwest-north-tower-philadelphia-pa/3q4dq5e/
Madison at Presidential City,Post Brothers Apartments,844-291-0497,"3800-3900 City Ave, Philadelphia, PA 19131",False,2015,265,https://www.apartments.com/madison-at-presidential-city-philadelphia-pa/ry3jv13/
Lincoln Green,Chelsea Management,866-719-1673,"4000-4040 Presidential Blvd, Philadelphia, PA 19131",False,1986,636,https://www.apartments.com/lincoln-green-philadelphia-pa/wg5fjpl/
The Granary,Greystar,215-437-3188,"1901 Callowhill St, Philadelphia, PA 19130",False,2013,229,https://www.apartments.com/the-granary-philadelphia-pa/w082d3k/
1600 Callowhill,Greystar,855-457-9340,"1600 Callowhill St, Philadelphia, PA 19130",False,2018,96,https://www.apartments.com/1600-callowhill-philadelphia-pa/smplw16/
Goldtex,Post Brothers Apartments,215-600-2233,"315 N 12th St, Philadelphia, PA 19107",False,2013,165,https://www.apartments.com/goldtex-philadelphia-pa/k40zgfc/
The Alexander,Greystar,215-309-6874,"1601 Vine St, Philadelphia, PA 19102",False,2018,277,https://www.apartments.com/the-alexander-philadelphia-pa/njfrbjm/
Crane Chinatown,The Bozzuto Group,844-223-2489,"1001 Vine St, Philadelphia, PA 19107",False,2019,150,https://www.apartments.com/crane-chinatown-philadelphia-pa/j07dm17/
Park Towne Place Apartments,Apartment Investment and Management Company,844-688-8899,"2200 Benjamin Franklin Pky, Philadelphia, PA 19130",False,1959,940,https://www.apartments.com/park-towne-place-apartments-philadelphia-pa/hczsx91/
Tacony Crossing by ONEWALL,One Wall Partners,844-861-0083,"155 E Godfrey Ave, Philadelphia, PA 19120",False,1969,498,https://www.apartments.com/tacony-crossing-by-onewall-philadelphia-pa/e1djx4m/
The View at Old City,Priderock Capital Management,703-988-2292,"401 Race St, Philadelphia, PA 19106",False,2018,216,https://www.apartments.com/the-view-at-old-city-philadelphia-pa/x1bf4wq/
Edgewater Apartments,Greystar,866-413-3978,"2323 Race St, Philadelphia, PA 19103",False,2005,287,https://www.apartments.com/edgewater-apartments-philadelphia-pa/tdb3pqb/
The Royal Athena,The Bozzuto Group,844-210-4113,"600 Righters Ferry Rd, Bala Cynwyd, PA 19004",True,2016,277,https://www.apartments.com/the-royal-athena-bala-cynwyd-pa/sy3f9q7/
Bridge on Race,Greystar,215-883-7502,"205 Race St, Philadelphia, PA 19106",True,2017,145,https://www.apartments.com/bridge-on-race-philadelphia-pa/xxf2e4n/
The View at Manayunk Apartments,M&M Management,215-330-5228,"4136-40 Mitchell St, Philadelphia, PA 19128",False,2019,72,https://www.apartments.com/the-view-at-manayunk-apartments-philadelphia-pa/rd3g7l0/
The Sterling,Apartment Investment and Management Company,215-987-2233,"1815 John F Kennedy Blvd, Philadelphia, PA 19103",False,1961,534,https://www.apartments.com/the-sterling-philadelphia-pa/crkk3bg/
The National,"BPG Real Estate Services, LLC",610-719-3296,"121 N 2nd St, Philadelphia, PA 19106",False,2018,192,https://www.apartments.com/the-national-philadelphia-pa/jxddv96/
1919 Market St.,LCOR/JV Acquisition LLC,844-481-0879,"1919 Market St, Philadelphia, PA 19103",False,2016,321,https://www.apartments.com/1919-market-st-philadelphia-pa/z6xq6wz/
The Ludlow,Greystar,215-372-1196,"1101 Ludlow St, Philadelphia, PA 19107",True,2018,322,https://www.apartments.com/the-ludlow-philadelphia-pa/lpm616f/
Vue32,The Bozzuto Group,267-293-6132,"3201 Race St, Philadelphia, PA 19104",False,2017,170,https://www.apartments.com/vue32-philadelphia-pa/v60dc8g/
The Girard,Greystar,215-372-1163,"1199 Ludlow St, Philadelphia, PA 19107",False,2018,240,https://www.apartments.com/the-girard-philadelphia-pa/xhslt9m/
The Commonwealth,"Alterra Property Group, LLC (“Alterra”)",267-297-2958,"1201 Chestnut St, Philadelphia, PA 19107",False,1980,98,https://www.apartments.com/the-commonwealth-philadelphia-pa/mcysbhk/
AQ Rittenhouse,Greystar,844-289-2042,"2021 Chestnut St, Philadelphia, PA 19103",False,2015,112,https://www.apartments.com/aq-rittenhouse-philadelphia-pa/16wpkk4/
The Collins,Greystar,844-841-5339,"1125 Sansom St, Philadelphia, PA 19107",False,2016,112,https://www.apartments.com/the-collins-philadelphia-pa/f79m92r/
The Franklin Residences,Korman Communities,215-987-3270,"834 Chestnut St, Philadelphia, PA 19107",False,1923,301,https://www.apartments.com/the-franklin-residences-philadelphia-pa/dbd8hml/
The Point At Rittenhouse Row,Pantzer Properties,844-665-0950,"1601 Sansom St, Philadelphia, PA 19103",False,1970,84,https://www.apartments.com/the-point-at-rittenhouse-row-philadelphia-pa/575estn/
The Harper,"Pearl Properties, LLC",844-269-1523,"112 S 19th St, Philadelphia, PA 19103",False,2018,225,https://www.apartments.com/the-harper-philadelphia-pa/n7y3jmq/
The Wellington,Allan Domb Real Estate,844-458-9327,"135 S 19th St, Philadelphia, PA 19103",False,1925,115,https://www.apartments.com/the-wellington-philadelphia-pa/h4qd3v1/
The Mansion at Bala,"Winther Investment, Inc.",855-217-3028,"4700 City Ave, Philadelphia, PA 19131",True,2010,276,https://www.apartments.com/the-mansion-at-bala-philadelphia-pa/48hrl8l/
The Old Quaker Building,Greystar,267-233-6695,"3514 Lancaster Ave, Philadelphia, PA 19104",False,1870,76,https://www.apartments.com/the-old-quaker-building-philadelphia-pa/6syn5rv/
Lyndon At The Curtis,Stonehenge Advisors Inc.,844-806-0858,"601 Walnut St, Philadelphia, PA 19106",True,2017,63,https://www.apartments.com/lyndon-at-the-curtis-philadelphia-pa/pw2ccrr/
Arrive University City,"FPA Multifamily, LLC",844-841-5323,"3601 Market St, Philadelphia, PA 19104",True,2016,363,https://www.apartments.com/arrive-university-city-philadelphia-pa/yl2tbxt/
The Atlantic,Post Brothers Apartments,844-774-8374,"1401 Spruce St, Philadelphia, PA 19102",False,2019,268,https://www.apartments.com/the-atlantic-philadelphia-pa/hqf41b0/
Bala Apartments,"Woodward Properties, Inc.",866-604-9519,"4920-4950 City Ave, Philadelphia, PA 19131",False,1910,152,https://www.apartments.com/bala-apartments-philadelphia-pa/jejegh7/
The Left Bank Apartments,Apartment Investment and Management Company,844-693-7245,"3131 Walnut St, Philadelphia, PA 19104",False,1929,282,https://www.apartments.com/the-left-bank-apartments-philadelphia-pa/eyzwdvp/
The Dane,CP Acquisitions 30 LLC,844-752-3041,"2201 Bryn Mawr Ave, Philadelphia, PA 19131",False,1960,231,https://www.apartments.com/the-dane-philadelphia-pa/mz3lvnk/
Locust on the Park,Apartment Investment and Management Company,267-328-4619,"201 S 25th St, Philadelphia, PA 19103",True,1911,152,https://www.apartments.com/locust-on-the-park-philadelphia-pa/lrk4fcf/
The Kelly,CP Acquisitions 30 LLC,844-280-8665,"10 Union Ave, Bala Cynwyd, PA 19004",False,2019,109,https://www.apartments.com/the-kelly-bala-cynwyd-pa/hezp011/
The Pepper Building,"Alterra Property Group, LLC (“Alterra”)",866-930-6366,"1830 Lombard St, Philadelphia, PA 19146",False,1927,183,https://www.apartments.com/the-pepper-building-philadelphia-pa/sr2b9f7/
Southstar Lofts,Apartment Investment and Management Company,267-787-6605,"521 S Broad St, Philadelphia, PA 19147",False,2014,85,https://www.apartments.com/southstar-lofts-philadelphia-pa/rxx6q00/
Hamilton Court,Stratford Management,844-316-2970,"3816-3836 S Chestnut St, Philadelphia, PA 19104",True,1915,116,https://www.apartments.com/hamilton-court-philadelphia-pa/0pj5gy2/
Chestnut Hall Apartments,Apartment Investment and Management Company,844-693-6268,"3900 Chestnut St, Philadelphia, PA 19104",False,1923,315,https://www.apartments.com/chestnut-hall-apartments-philadelphia-pa/38kt07e/
The Lofts At Chimney Hill,Neducsin Management,888-331-5207,"161 Leverington Ave, Philadelphia, PA 19127",False,1999,82,https://www.apartments.com/the-lofts-at-chimney-hill-philadelphia-pa/cmjwghg/
The LVL 4125,"Alterra Property Group, LLC (“Alterra”)",267-764-4363,"4125-4136 Chestnut St, Philadelphia, PA 19104",True,2019,141,https://www.apartments.com/the-lvl-4125-philadelphia-pa/w67tywk/
777 South Broad,Apartment Investment and Management Company,844-694-5356,"777 S Broad St, Philadelphia, PA 19147",True,2010,146,https://www.apartments.com/777-south-broad-philadelphia-pa/vfpmd3f/
Venice Lofts,JRK Property Holdings,844-762-1254,"4601 Flat Rock Rd, Philadelphia, PA 19127",False,2007,128,https://www.apartments.com/venice-lofts-philadelphia-pa/eym0g5m/
Lincoln Square,"Alterra Property Group, LLC (“Alterra”)",267-540-3084,"1000 S Broad St, Philadelphia, PA 19146",False,2018,322,https://www.apartments.com/lincoln-square-philadelphia-pa/2xrwhkb/
Lynnewood Gardens,Jersey Central Management,866-423-2952,"1950 Ashbourne Rd, Elkins Park, PA 19027",False,1945,1798,https://www.apartments.com/lynnewood-gardens-elkins-park-pa/7bjgd3y/
1200 Washington,Westrum Development Company,484-588-6981,"1200 Washington Ave, Philadelphia, PA 19147",False,2017,48,https://www.apartments.com/1200-washington-philadelphia-pa/3r6jt4d/
Cherokee,Eagle Rock Properties LLC,844-842-3318,"7715 McCallum St, Philadelphia, PA 19118",False,1954,129,https://www.apartments.com/cherokee-philadelphia-pa/bh31d59/
