Option Name,Developer,Contact,Address,Wi-Fi,Year Built,Units,URL
The Griff,The Tailwind Group,844-855-0688,"1234 Steelwood Rd, Columbus, OH 43212",True,2016,288,https://www.apartments.com/the-griff-columbus-oh/cdk6gge/
Colony Club Apartments,DGB Communities,844-865-1614,"1190 Chambers Rd, Columbus, OH 43212",True,1973,328,https://www.apartments.com/colony-club-apartments-columbus-oh/prdysrt/
Heritage Apartments in Grandview,Village Green,844-258-0611,"1361 Presidential Dr, Columbus, OH 43212",False,1963,600,https://www.apartments.com/heritage-apartments-in-grandview-columbus-oh/ydqnncv/
The Meridian by Cortland,Cortland Partners,844-214-2859,"1401 Aschinger Blvd, Columbus, OH 43212",False,1998,480,https://www.apartments.com/the-meridian-by-cortland-columbus-oh/7ve322x/
Olentangy Village,John W Kessler Company,614-310-4918,"2907 N High St, Columbus, OH 43202",False,1989,612,https://www.apartments.com/olentangy-village-columbus-oh/20jpeyc/
Uncommon Columbus,"CA Ventures, LLC",877-370-7818,"1396 N High St, Columbus, OH 43201",True,2018,154,https://www.apartments.com/uncommon-columbus-columbus-oh/3xrex4f/
The Canterbury,Plaza Properties,614-705-1411,"3440 Olentangy River Rd, Columbus, OH 43202",True,1965,182,https://www.apartments.com/the-canterbury-columbus-oh/wjmy9hk/
Dorchester East,Nationwide Life Insurance Co,855-288-6957,"950 Dorchester Way, Grandview Heights, OH 43212",False,2018,86,https://www.apartments.com/dorchester-east-grandview-heights-oh/6j7rfpr/
Trotters Park,Somerset Partners,877-342-6104,"720 Michigan Ave, Columbus, OH 43215",False,2015,144,https://www.apartments.com/trotters-park-columbus-oh/6085pzv/
"Station 324 - NOW LEASING, BRAND NEW!","Elford Asset Management, LLC",740-217-2879,"324 E 2nd Ave, Columbus, OH 43201",True,2019,196,https://www.apartments.com/station-324-now-leasing-brand-new-columbus-oh/7t698vz/
The Foundry at Jeffrey Park,"Elford Realty, LLC",614-808-3752,"233 E 1st Ave, Columbus, OH 43215",False,2015,276,https://www.apartments.com/the-foundry-at-jeffrey-park-columbus-oh/6p266rs/
The Deco Apts - Summer Move-in Specials!,Zimmerman Companies,844-350-0248,"3450 Indianola Ave, Columbus, OH 43214",True,2017,114,https://www.apartments.com/the-deco-apts-summer-move-in-specials-columbus-oh/vlw39tf/
The Legacy at Jeffrey Park,"Elford Asset Management, LLC",614-808-4751,"773 Waldron St, Columbus, OH 43215",False,2017,266,https://www.apartments.com/the-legacy-at-jeffrey-park-columbus-oh/vcmn4nd/
Flats On Vine,Nationwide Life Insurance Co,614-347-1554,"205 Vine St, Columbus, OH 43215",False,2011,226,https://www.apartments.com/flats-on-vine-columbus-oh/24yh6t8/
The Quarry,The Solomon Organization,614-528-4906,"2111-2550 Quarry Lake Dr, Columbus, OH 43204",False,2002,674,https://www.apartments.com/the-quarry-columbus-oh/kv2h2t9/
Arena Crossing,Nationwide Life Insurance Co,888-366-1724,"423-237 N Front St, Columbus, OH 43215",False,2004,252,https://www.apartments.com/arena-crossing-columbus-oh/grvzypz/
Grandview Apartments by Albion,Village Green,844-856-2911,"1717 Canvasback Ln, Columbus, OH 43215",False,1990,420,https://www.apartments.com/grandview-apartments-by-albion-columbus-oh/sc827c6/
Runaway Bay,"Borror Properties, Inc.",844-807-0598,"1480 Runaway Bay Dr, Columbus, OH 43204",False,1984,436,https://www.apartments.com/runaway-bay-columbus-oh/14vchm5/
Riverwatch Towers,NAI Global,614-515-5489,"364 W Lane Ave, Columbus, OH 43201",False,1988,295,https://www.apartments.com/riverwatch-towers-columbus-oh/y4zg1zv/
