Option Name,Developer,Contact,Address,Wi-Fi,Year Built,Units,URL
The Depot,Foresite Realty,844-365-7915,"80 E Exchange St, Akron, OH 44308",True,2014,192,https://www.apartments.com/the-depot-akron-oh/w9klpwj/
Fairway Tower and Manor Apartments,"Dynasty Properties, LLC",844-271-9800,"750 Mull Ave, Akron, OH 44313",False,1973,151,https://www.apartments.com/fairway-tower-and-manor-apartments-akron-oh/j5tcsc6/
The Heritage at White Pond,"Castle Apartments, Inc.",234-542-4716,"915-975 Mull Ave, Akron, OH 44313",True,1972,221,https://www.apartments.com/the-heritage-at-white-pond-akron-oh/vw3ejve/
Yorkshire Woods Apartments,Brookwood Management Company Inc,888-386-9450,"1305 Buckingham Gate Blvd, Cuyahoga Falls, OH 44221",False,1992,328,https://www.apartments.com/yorkshire-woods-apartments-cuyahoga-falls-oh/xltcldn/
Shoreline Beach Club,Terri-John Construction,330-752-6321,"669 Carnegie Ave, Akron, OH 44314",False,1959,609,https://www.apartments.com/shoreline-beach-club-akron-oh/vlw0xff/
Cascade Falls,BEZTAK Properties,844-809-2792,"1776 E Waterford Ct, Akron, OH 44313",False,1998,304,https://www.apartments.com/cascade-falls-akron-oh/qbn557w/
Timber Top Apartments & Townhomes,AIY Properties,330-752-6296,"1551 Treetop Trl, Akron, OH 44313",False,1984,1044,https://www.apartments.com/timber-top-apartments-townhomes-akron-oh/3pfmnpe/
Fir Hill Towers,Burton Carol Management,888-799-0940,"55 Fir Hill Dr, Akron, OH 44304",True,1970,251,https://www.apartments.com/fir-hill-towers-akron-oh/wlk479l/
22 Exchange,Friedman Real Estate,844-881-2272,"22 E Exchange St, Akron, OH 44308",False,2010,471,https://www.apartments.com/22-exchange-akron-oh/4c6s0jl/
The East End,"Industrial Realty Group, LLC",844-562-8023,"1201 E Market St, Akron, OH 44305",False,1918,105,https://www.apartments.com/the-east-end-akron-oh/hnr53n1/
The Highland Square,"Executive Properties, Inc.",330-899-4395,"733 W Market St, Akron, OH 44303",False,1969,108,https://www.apartments.com/the-highland-square-akron-oh/9ts2k65/
Alphada Place Apartments,Watermark Partners Real Estate,844-261-2832,"1446 Alphada Ave, Akron, OH 44310",False,1964,152,https://www.apartments.com/alphada-place-apartments-akron-oh/qdkl85z/
The Woods of Fairlawn,AIY Properties,833-746-9438,"17 Manor Rd, Akron, OH 44313",False,1947,344,https://www.apartments.com/the-woods-of-fairlawn-akron-oh/y77h4pr/
Foxtail Glen on WhitePond,"Castle Apartments, Inc.",234-200-7304,"2131 Copley Rd, Akron, OH 44320",True,1966,102,https://www.apartments.com/foxtail-glen-on-whitepond-akron-oh/7w3ddfw/
Portage Trail East Apartments,"Executive Properties, Inc.",330-594-5606,"540 E Portage Trail, Cuyahoga Falls, OH 44221",False,1967,154,https://www.apartments.com/portage-trail-east-apartments-cuyahoga-falls-oh/ekdjefp/
Ellet Park Gardens,A. R. Building Company,330-752-1287,"720 Shadybrook Dr, Akron, OH 44312",False,1994,84,https://www.apartments.com/ellet-park-gardens-akron-oh/cgvvr5d/
Newport Landing,Gross Residential,330-899-4397,"234 Mallard Point Dr, Akron, OH 44319",False,2002,336,https://www.apartments.com/newport-landing-akron-oh/v26vsld/
Mayflower Manor Senior Apartments,"Capital Realty Group, Inc.",844-228-8335,"263 S Main St, Akron, OH 44308",False,1981,233,https://www.apartments.com/mayflower-manor-senior-apartments-akron-oh/y09yjds/
Summit at Glendale,Terri-John Construction,844-350-7859,"125 Locust St, Akron, OH 44302",False,1961,24,https://www.apartments.com/summit-at-glendale-akron-oh/8ckpq23/
Hampshire House,Botnick Realty Company,844-495-9752,"75 N Portage Path, Akron, OH 44303",False,1967,62,https://www.apartments.com/hampshire-house-akron-oh/bhcbj39/
Neville Apartments,Neville Apartments,844-703-1105,"1015-1077 Neville Ave, Akron, OH 44306",False,1959,32,https://www.apartments.com/neville-apartments-akron-oh/ewdc9np/
Condos on Gurley,RSC Properties Ltd,330-474-9938,"1363-1405 Gurley Cir, Akron, OH 44310",False,2004,22,https://www.apartments.com/condos-on-gurley-akron-oh/dwh4pej/
Newton Hill Apartments,Botnick Realty Company,330-931-4185,"1908 Newton St, Akron, OH 44305",False,1972,40,https://www.apartments.com/newton-hill-apartments-akron-oh/r2n47d2/
Summit Ridge Apartments,The Millennia Companies,844-896-9906,"1111 Independence Ave, Akron, OH 44310",True,1969,398,https://www.apartments.com/summit-ridge-apartments-akron-oh/jl3x697/
Brandemere Apartments,Woodbine Management Corp,330-331-0467,"1920-1965 Garden Ct, Akron, OH 44312",False,1975,80,https://www.apartments.com/brandemere-apartments-akron-oh/zsjh71z/
Seven Stories West,"Executive Properties, Inc.",234-200-7299,"429 N Hawkins Ave, Akron, OH 44313",False,1969,108,https://www.apartments.com/seven-stories-west-akron-oh/pdmyp4r/
Hunters Lake Apartments,Botnick Realty Company,330-752-6317,"1207 Hunters Lake Dr W, Cuyahoga Falls, OH 44221",False,1988,404,https://www.apartments.com/hunters-lake-apartments-cuyahoga-falls-oh/9cvhn44/
Tallmadge Oaks,"Executive Properties, Inc.",330-968-2552,"120-150 North Ave, Tallmadge, OH 44278",False,1969,154,https://www.apartments.com/tallmadge-oaks-tallmadge-oh/l3he7gf/
Mogadore Square Apartments,Woodbine Management Corp,844-220-3391,"2880-2892 Mogadore Rd, Akron, OH 44312",False,1974,84,https://www.apartments.com/mogadore-square-apartments-akron-oh/j6rxew4/
Portage Towers Apartments,Portage Towers Apartments,866-882-0190,"2200-2220 High St, Cuyahoga Falls, OH 44221",False,1973,378,https://www.apartments.com/portage-towers-apartments-cuyahoga-falls-oh/3cpq5te/
Cedarwood Village Apartments,Monarch Investment and Management Group,844-278-9153,"1343-1343 Weathervane Ln, Akron, OH 44313",False,1977,476,https://www.apartments.com/cedarwood-village-apartments-akron-oh/vcnq3xd/
Forest Ridge,Haley Associates Limited Partnership,234-542-6662,"420-17 Munroe Falls Ave, Cuyahoga Falls, OH 44221",False,1997,100,https://www.apartments.com/forest-ridge-cuyahoga-falls-oh/pdvr8vv/
The Apartments on Second Street,"Executive Properties, Inc.",330-594-2090,"2550 Second St, Cuyahoga Falls, OH 44221",False,1965,73,https://www.apartments.com/the-apartments-on-second-street-cuyahoga-falls-oh/ezcjkhm/
Canal Square Apartments,"Testa Realty, Inc.",234-208-7177,"1 Canal Square Plz, Akron, OH 44308",False,1930,67,https://www.apartments.com/canal-square-apartments-akron-oh/6x7wnyt/
Bella Dora Akron U,"Bella Dora Management, Inc.",844-577-9470,"634 E Buchtel Ave, Akron, OH 44304",False,1967,48,https://www.apartments.com/bella-dora-akron-u-akron-oh/w1jhfjk/
Hill Chateau Apartments,Watermark Partners Real Estate,844-380-3926,"26 E Tallmadge Ave, Akron, OH 44310",False,1919,60,https://www.apartments.com/hill-chateau-apartments-akron-oh/0rs4ls3/
Highland Towers Apartments,Paran Management Company Ltd.,844-475-2108,"900 W Market St, Akron, OH 44313",False,1962,96,https://www.apartments.com/highland-towers-apartments-akron-oh/6q18j1t/
Village At Pointe West,"Testa Realty, Inc.",330-931-3651,"326 Village Pointe Dr, Akron, OH 44313",False,1989,90,https://www.apartments.com/village-at-pointe-west-akron-oh/v4m1cmd/
The Village at Town Center,"Testa Realty, Inc.",234-200-4718,"100 North Ave, Tallmadge, OH 44278",False,2017,25,https://www.apartments.com/the-village-at-town-center-tallmadge-oh/3tec3he/
Liberty Commons,Valley Management,234-208-7025,"1248 Weathervane Ln, Akron, OH 44313",False,1978,29,https://www.apartments.com/liberty-commons-akron-oh/f0yllxv/
365 Sherman St Unit 1,,234-200-7277,"365 Sherman St, Akron, OH 44311",False,1978,29,https://www.apartments.com/365-sherman-st-akron-oh-unit-1/j2hmfl5/
53 S College St Unit A,,234-303-1172,"53 S College St, Akron, OH 44308",False,1978,29,https://www.apartments.com/53-s-college-st-akron-oh-unit-a/y4qfy4s/
451 Brown St Unit 4,,234-200-0822,"451 Brown St, Akron, OH 44311",False,1978,29,https://www.apartments.com/451-brown-st-akron-oh-unit-4/d4drpkj/
576 Carroll St Unit Penth,,844-300-8139,"576 Carroll St, Akron, OH 44304",False,,,https://www.apartments.com/576-carroll-st-akron-oh-unit-penth/5nnlmln/
30 S Adams St,,833-683-2521,"30 S Adams St, Akron, OH 44304",True,,,https://www.apartments.com/30-s-adams-st-akron-oh/wm20cqh/
17 Agate Pl Unit 1,,844-215-9207,"17 Agate Pl, Akron, OH 44305",True,,,https://www.apartments.com/17-agate-pl-akron-oh-unit-1/1mm8be5/
783 E Exchange St Unit 1,,,"783 E Exchange St, Akron, OH 44306",False,,,https://www.apartments.com/783-e-exchange-st-akron-oh-unit-1/9w1cbz6/
797 E Market St Unit 201,,234-205-0198,"797 E Market St, Akron, OH 44305",False,,,https://www.apartments.com/797-e-market-st-akron-oh-unit-201/vq3w9tf/
565 W Exchange St Unit 2,,234-203-2362,"565 W Exchange St, Akron, OH 44302",False,,,https://www.apartments.com/565-w-exchange-st-akron-oh-unit-2/1798se5/
588 Crosby St Unit 2,,234-203-2154,"588 Crosby St, Akron, OH 44302",False,,,https://www.apartments.com/588-crosby-st-akron-oh-unit-2/dbjrvrk/
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Roo Commons,,,"406 Sumner St, Akron, OH 44304",True,1994,42,https://www.apartments.com/roo-commons-akron-oh/ewr60hm/
430 Sumner St Unit 302A,,,"430 Sumner St, Akron, OH 44304",False,1994,42,https://www.apartments.com/430-sumner-st-akron-oh-unit-302a/pwhdfzv/
bedroom in Akron OH 44304,,,"430 Sumner St, Akron, OH 44304",False,1994,42,https://www.apartments.com/bedroom-in-akron-oh-44304-akron-oh/27f87cb/
430 Sumner St Unit 102A,,,"430 Sumner St, Akron, OH 44304",False,1994,42,https://www.apartments.com/430-sumner-st-akron-oh-unit-102a/6wkwflv/
430 Sumner St Unit Apt #302B,,,"430 Sumner St, Akron, OH 44304",False,1994,42,https://www.apartments.com/430-sumner-st-akron-oh-unit-apt-302b/mfbfccl/
430 Sumner St Unit 203B,,,"430 Sumner St, Akron, OH 44304",False,1994,42,https://www.apartments.com/430-sumner-st-akron-oh-unit-203b/817kvg0/
430 Sumner St Unit 304B,,,"430 Sumner St, Akron, OH 44304",False,1994,42,https://www.apartments.com/430-sumner-st-akron-oh-unit-304b/qgeqkmx/
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
