Option Name,Developer,Contact,Address,Wi-Fi,Year Built,Units,URL
Element Oakwood,Hills Properties,844-299-3392,"310 Old River Trl, Dayton, OH 45409",False,2019,84,https://www.apartments.com/element-oakwood-dayton-oh/q76bkpy/
Sycamore Square Apartments,Oberer Companies,844-207-0047,"41 Patterson Village Dr, Dayton, OH 45419",False,1945,201,https://www.apartments.com/sycamore-square-apartments-dayton-oh/531pf6n/
Park Layne Apartments,F&W Properties,937-586-7541,"531 Belmonte Park N, Dayton, OH 45405",False,1969,127,https://www.apartments.com/park-layne-apartments-dayton-oh/2s1t9y9/
The Residenz,"Blenheim Management Services, LLC",866-410-4532,"740 Residenz Pky, Kettering, OH 45429",False,1986,368,https://www.apartments.com/the-residenz-kettering-oh/zmql0jw/
Dayton Towers,Oberer Companies,937-949-5773,"425 Dayton Towers Dr, Dayton, OH 45410",False,1963,207,https://www.apartments.com/dayton-towers-dayton-oh/h66q861/
St. Clair Lofts,Oberer Companies,877-489-5628,"35 S Saint Clair St, Dayton, OH 45402",False,1910,108,https://www.apartments.com/st-clair-lofts-dayton-oh/1ye00s7/
Centerfield Flats,Crawford Hoying,844-243-4646,"427 Water St, Dayton, OH 45402",False,2019,113,https://www.apartments.com/centerfield-flats-dayton-oh/zrblgpx/
The Executive House,Showe Companies,844-621-7914,"51 Grafton Ave, Dayton, OH 45406",False,1968,95,https://www.apartments.com/the-executive-house-dayton-oh/t42f9m8/
Riverstone,F&W Properties,844-621-7915,"111 Grafton Ave, Dayton, OH 45406",False,1965,85,https://www.apartments.com/riverstone-dayton-oh/wnzkm7l/
The Rockwood,F&W Properties,844-622-8041,"515 W Grand Ave, Dayton, OH 45405",False,1966,84,https://www.apartments.com/the-rockwood-dayton-oh/tcpsxd8/
Wilmington Pointe Apartments,Wilmington Pointe Apartments,844-867-3955,"933 Wilmington Ave, Dayton, OH 45420",False,1951,189,https://www.apartments.com/wilmington-pointe-apartments-dayton-oh/ezhed5q/
The Flats at South Park,Oberer Companies,844-385-2195,"619 Nathan Pl, Dayton, OH 45409",False,2018,43,https://www.apartments.com/the-flats-at-south-park-dayton-oh/eg29s3p/
Pinetree Apartments,Pinetree Apartments,844-833-5409,"2000-2046 W Schantz Ave, Dayton, OH 45409",False,1974,36,https://www.apartments.com/pinetree-apartments-dayton-oh/tltkcgc/
Lakeshore Place,"Harlamert Enterprises, Inc.",844-473-8859,"144 Bellaire Ave, Dayton, OH 45420",False,1977,58,https://www.apartments.com/lakeshore-place-dayton-oh/0ledh22/
Patterson House Apartments and Townhomes,"Harlamert Enterprises, Inc.",844-219-5080,"817 Patterson Rd, Dayton, OH 45419",False,1967,73,https://www.apartments.com/patterson-house-apartments-and-townhomes-dayton-oh/z66tbnz/
Delco Lofts,Crawford Hoying,937-715-0747,"329 E 1st St, Dayton, OH 45402",False,2017,133,https://www.apartments.com/delco-lofts-dayton-oh/btk1dqc/
Van Buren Village,Monarch Investment and Management Group,844-742-9040,"1956 S Smithville Rd, Kettering, OH 45420",False,1951,500,https://www.apartments.com/van-buren-village-kettering-oh/g5kxbnx/
First Place Luxury Apartments,R+ L Carriers,844-476-6161,"330 W 1st St, Dayton, OH 45402",True,2004,50,https://www.apartments.com/first-place-luxury-apartments-dayton-oh/gs0pxhw/
