Option Name,Developer,Contact,Address,Wi-Fi,Year Built,Units,URL
King Edward 4601 Apartments,Sterling Land Company,844-291-8671,"4601 Bayard St, Pittsburgh, PA 15213",False,,102,https://www.apartments.com/king-edward-4601-apartments-pittsburgh-pa/m65jljh/
Oakland Apartments,Lobos Management,844-291-8672,"4629 Bayard St, Pittsburgh, PA 15213",False,1928,32,https://www.apartments.com/oakland-apartments-pittsburgh-pa/6e8q1dr/
Royal York,Sterling Land Company,412-253-6972,"3955 Bigelow Blvd, Pittsburgh, PA 15213",False,1937,154,https://www.apartments.com/royal-york-pittsburgh-pa/whft4ml/
Oak Hill Apartments,Corcoran Jennison Management,844-209-9199,"475 Garner Ct, Pittsburgh, PA 15213",False,1999,619,https://www.apartments.com/oak-hill-apartments-pittsburgh-pa/m4pz40l/
SouthSide Works City Apartments,"City Club Apartments, LLC",412-253-6497,"2626 S Tunnel Blvd, Pittsburgh, PA 15203",False,2015,264,https://www.apartments.com/southside-works-city-apartments-pittsburgh-pa/2s7e9tc/
Carson Street Commons,Faros Properties,412-847-5472,"2525-2539 E Carson St, Pittsburgh, PA 15203",False,2004,275,https://www.apartments.com/carson-street-commons-pittsburgh-pa/bypghtc/
The Brake House Lofts,Lobos Management,412-437-2361,"2501 Liberty Ave, Pittsburgh, PA 15222",False,,18,https://www.apartments.com/the-brake-house-lofts-pittsburgh-pa/mwz68gl/
Live South Side,McKinney Properties,412-533-2420,"26 S 28th St, Pittsburgh, PA 15203",False,,49,https://www.apartments.com/live-south-side-pittsburgh-pa/hf3z3z0/
Ollie at Baumhaus,Ollie Co,844-762-5514,"5522 Baum Blvd, Pittsburgh, PA 15232",True,2017,127,https://www.apartments.com/ollie-at-baumhaus-pittsburgh-pa/gxewllw/
The Cork Factory Lofts,"GMH Associates, Inc.",866-626-1231,"2349 Railroad St, Pittsburgh, PA 15222",True,2006,297,https://www.apartments.com/the-cork-factory-lofts-pittsburgh-pa/5tcr5qn/
City View,Faros Properties,412-532-1007,"1420 Centre Ave, Pittsburgh, PA 15219",True,1964,392,https://www.apartments.com/city-view-pittsburgh-pa/l1d4klg/
